방송,식당명,방영전,방영전_log,방영후,증가,증가_log,증가율,증가율_log,방송명,방송날짜,주소
생생정보,136생고기,4,1.3862943611198906,45,41,3.713572066704308,1125.0,7.025538314638521,생생정보통,2017년 3월 17일,인천 계양구 작전동 136번지
생생정보,3일한우국밥,35,3.5553480614894135,51,16,2.772588722239781,145.7142857142857,4.981647757223003,생생정보통,2018년 3월 8일,서울 영등포구 영등포로 204
맛있는녀석들,가람떡갈비,21,3.044522437723423,50,29,3.367295829986474,238.0952380952381,5.472670753692815,맛있는 녀석들,2018년 1월 5일   ,서울 용산구 한강로 3가 40-441
생생정보,가마솥 족발,31,3.4339872044851463,106,75,4.31748811353631,341.93548387096774,5.8346220756150124,생생정보통,2018년 3월 22일,경북 경주시 봉황로 39-1
생생정보,가마솥손두부,11,2.3978952727983707,45,34,3.5263605246161616,409.09090909090907,6.013937402960041,생생정보통,2018년 4월 13일,서울 동작구 남부순환로 271길 20
생생정보,갈비구락부,36,3.58351893845611,46,10,2.302585092994046,127.77777777777777,4.850292644021076,생생정보통,2017년 9월 25일,울산 울주군 삼남면 남상평2길 34-12
수요미식회,갓포치유,24,3.1780538303479458,74,50,3.912023005428146,308.33333333333337,5.731181448844316,수요미식회,2017년 8월 9일  ,서울특별시 강남구 언주로164길 34-2
수요미식회,강릉감자옹심이,177,5.176149732573829,295,118,4.770684624465665,166.66666666666669,5.115995809754082,수요미식회,2017년 11월 1일  ,강원도 강릉시 임당동 19-22
생생정보,강릉아구찜,9,2.1972245773362196,43,34,3.5263605246161616,477.77777777777777,6.169145724345435,생생정보통,2017년 11월 29일,서울 서대문구 연세로2다길 68
수요미식회,강촌 숯불 닭갈비,42,3.7376696182833684,138,96,4.564348191467836,328.57142857142856,5.794754252861928,수요미식회,2017년 12월 6일  ,서울특별시 구로구 구로동 29-22
맛있는녀석들,강촌원조쭈꾸미,7,1.9459101490553132,46,39,3.6635616461296463,657.1428571428571,6.487901433421873,맛있는 녀석들,2017년 1월 13일,서울 서초구 양재동 11-6
생생정보,강화해신탕,12,2.4849066497880004,41,29,3.367295829986474,341.66666666666663,5.833835602904399,생생정보통,2017년 8월 15일,인천 강화군 선원면 중앙로 385
맛있는녀석들,개미집,13,2.5649493574615367,20,7,1.9459101490553132,153.84615384615387,5.035953102080546,맛있는 녀석들,2017년 2월 24일,서울 광진구 화양동 508-2
수요미식회,개화옥,21,3.044522437723423,72,51,3.9318256327243257,342.85714285714283,5.837313867280724,수요미식회,2017년 4월 5일  ,서울특별시 강남구 논현로175길 42
맛있는녀석들,개화옥 등심,1,0.0,8,7,1.9459101490553132,800.0,6.684611727667927,맛있는 녀석들,2017년 7월 21일,서울 강남구 신사동 574-5
수요미식회,갯바위,5,1.6094379124341003,40,35,3.5553480614894135,800.0,6.684611727667927,수요미식회,2017년 2월 8일  ,서울특별시 관악구 남부순환로216길 1
맛있는녀석들,건대통골뱅이,12,2.4849066497880004,36,24,3.1780538303479458,300.0,5.703782474656201,맛있는 녀석들,2017년 4월 7일,서울 강남구 논현동 143-26
맛있는녀석들,건대황소곱창,22,3.091042453358316,67,45,3.8066624897703196,304.54545454545456,5.7188203520207415,맛있는 녀석들,2017년 11월 24일,서울 광진구화양동 9-24
맛있는녀석들,경포,0,-inf,8,8,2.0794415416798357,inf,inf,맛있는 녀석들,2017년 5월 26일,경기 성남시 수정구 복정동 38-24
생생정보,계림식당,37,3.6109179126442243,49,12,2.4849066497880004,132.43243243243242,4.886072571454493,생생정보통,2017년 9월 7일,서울 종로구 돈화문로4길 39
생생정보,고기한점 달빛한점,14,2.6390573296152584,58,44,3.784189633918261,414.28571428571433,6.026555866919252,생생정보통,2017년 12월 5일,서울 광진구 아차산로31길 29
수요미식회,고래불,19,2.9444389791664403,76,57,4.04305126783455,400.0,5.991464547107982,수요미식회,2017년 2월 22일  ,서울특별시 강남구 논현로79길 62
수요미식회,고암식당,9,2.1972245773362196,74,65,4.174387269895637,822.2222222222222,6.712010701856042,수요미식회,2018년 5월 02일 ,서울 용산구 이태원로27가길 5
맛있는녀석들,고향 양꼬치,33,3.4965075614664802,49,16,2.772588722239781,148.4848484848485,5.000482922632238,맛있는 녀석들,2018년 4월 6일   ,서울 광진구 동일로18길 101
맛있는녀석들,광주식당,49,3.8918202981106265,63,14,2.6390573296152584,128.57142857142858,4.8564846142689975,맛있는 녀석들,2018년 3월 16일   ,서울 동대문구 홍릉로1길 21-6
맛있는녀석들,교동두부,6,1.791759469228055,35,29,3.367295829986474,583.3333333333333,6.36875877824945,맛있는 녀석들,2018년 2월 2일   ,서울 종로구 관훈동 110
생생정보,구로식당 본점,32,3.4657359027997265,37,5,1.6094379124341003,115.625,4.75035219583259,생생정보통,2017년 7월 26일,서울 구로구 디지털로34길 55
수요미식회,구복만두,81,4.394449154672439,200,119,4.77912349311153,246.91358024691357,5.509038397863689,수요미식회,2017년 12월 13일  ,서울특별시 용산구 남영동 3-4
생생정보,구옹진식당,11,2.3978952727983707,38,27,3.295836866004329,345.45454545454544,5.844861072916107,생생정보통,2017년 8월 15일,충남 서산시 번화2로 8-2
맛있는녀석들,그릭슈바인,76,4.330733340286331,60,-16,,78.94736842105263,4.368781407923861,맛있는 녀석들,2017년 4월 14일,서울 강남구 논현동 17
생생정보,금돼지식당,1,0.0,34,33,3.4965075614664802,3400.0,8.131530710604252,생생정보통,2018년 5월 1일,서울 중구 다산로 149 금돼지식당
생생정보,금목서회관,1,0.0,17,16,2.772588722239781,1700.0,7.438383530044307,생생정보통,2017년 6월 19일,전라남도 광양시 광양읍 칠성리 17-2
