방송,식당,방영일,포스팅일,제목,주소,days_diff,지역
맛있는녀석들,내호냉면,2017-01-06,2016-12-14,24시간의 부산체험,"https://m.blog.naver.com/kilo0715/220885598908""",-23,부산
맛있는녀석들,내호냉면,2017-01-06,2017-03-30,부산 밀면 맛집 '<mark>내호냉면</mark>',"https://m.blog.naver.com/imrich777/220971326602""",83,부산
맛있는녀석들,내호냉면,2017-01-06,2017-01-15,리얼맛집 부산 우암동 <mark>내호냉면</mark>!,"https://m.blog.naver.com/jge8989/220911681367""",9,부산
맛있는녀석들,내호냉면,2017-01-06,2017-01-06,"원조 밀면집, 이춘복, 우암동 맛집, <mark>내호 냉면</mark>, 가격 위치 전화, 맛있는녀석들 밀면 맛녀석 맛있는녀석들 98회","http://pulgi.tistory.com/885""",0,부산
맛있는녀석들,내호냉면,2017-01-06,2017-02-20,"부산여행, 한국전 당시 임시수도기간 이승만대통령 관저/부산 임시수도기념관","https://m.blog.naver.com/jjaeeui/220940051930""",45,부산
맛있는녀석들,내호냉면,2017-01-06,2017-01-06,"맛있는녀석들 부산특집, 밀면, 장어구이, 부산 원조밀면, 한방장어, 가마솥추어탕, 장어뼈튀김...","http://pulgi.tistory.com/884""",0,부산
맛있는녀석들,김영자 나주곰탕,2017-01-13,2017-02-11,서울 관악구/ 맛있는녀석들 <mark>김영자 나주곰탕</mark>,"https://m.blog.naver.com/joung9182/220933050976""",29,신림
맛있는녀석들,김영자 나주곰탕,2017-01-13,2017-01-05,[신림 맛집] <mark>김영자</mark> 원조 <mark>나주곰탕</mark> - 은은한 국물,"https://m.blog.naver.com/bitterpan/220897834698""",-8,신림
맛있는녀석들,김영자 나주곰탕,2017-01-13,2017-03-23,[신림맛집] 맛있는녀석들 나주곰탕/<mark>김영자나주곰탕</mark>,"https://m.blog.naver.com/kairi0702/220965584035""",69,신림
맛있는녀석들,김영자 나주곰탕,2017-01-13,2017-02-09,[서울/관악/서림] 약 40년 전통 신림맛집 - <mark>김영자 나주곰탕</mark>,"https://m.blog.naver.com/djmanul/220930746884""",27,신림
맛있는녀석들,김영자 나주곰탕,2017-01-13,2016-12-08,[신림동 <mark>나주곰탕</mark>/<mark>김영자</mark> 원조 <mark>나주곰탕</mark>] 신림동 - 서울서 맛볼 수 있는 최고의 <mark>나주곰탕</mark>,"https://m.blog.naver.com/mardukas/220880276856""",-36,신림
