식당,방송,방영전,방영후,증가,서울,방영월
136생고기,생생정보,4,45,41,0,3
3일한우국밥,생생정보,35,51,16,1,3
가람떡갈비,맛있는녀석들,21,50,29,1,1
가마솥 족발,생생정보,31,106,75,0,3
가마솥손두부,생생정보,11,45,34,1,4
갈비구락부,생생정보,36,46,10,0,9
갓포치유,수요미식회,24,74,50,1,8
강릉감자옹심이,수요미식회,177,295,118,0,11
강릉아구찜,생생정보,9,43,34,1,11
강촌 숯불 닭갈비,수요미식회,42,138,96,1,12
강촌원조쭈꾸미,맛있는녀석들,7,46,39,1,1
강화해신탕,생생정보,12,41,29,0,8
개미집,맛있는녀석들,13,20,7,1,2
개화옥,수요미식회,21,72,51,1,4
개화옥 등심,맛있는녀석들,1,8,7,1,7
갯바위,수요미식회,5,40,35,1,2
갱생,생생정보,14,34,20,1,2
건대통골뱅이,맛있는녀석들,12,36,24,1,4
건대황소곱창,맛있는녀석들,22,67,45,1,11
경포,맛있는녀석들,0,8,8,0,5
계림식당,생생정보,37,49,12,1,9
고기한점 달빛한점,생생정보,14,58,44,1,12
고래불,수요미식회,19,76,57,1,2
고암식당,수요미식회,9,74,65,1,5
고향 양꼬치,맛있는녀석들,33,49,16,1,4
광명소고기순대국,생생정보,5,25,20,0,5
광주식당,맛있는녀석들,49,63,14,1,3
교동두부,맛있는녀석들,6,35,29,1,2
구로식당 본점,생생정보,32,37,5,1,7
구복만두,수요미식회,81,200,119,1,12
구옹진식당,생생정보,11,38,27,0,8
군자네,생생정보,9,41,32,1,6
그릭슈바인,맛있는녀석들,76,60,-16,1,4
금돼지식당,생생정보,1,34,33,1,5
금목서회관,생생정보,1,17,16,0,6
금홍,수요미식회,6,75,69,1,4
기와집순두부,수요미식회,42,131,89,0,3
김관석의 탐라돈,생생정보,10,33,23,1,2
김북순큰남비집,맛있는녀석들,12,40,28,1,3
김영자 나주곰탕,맛있는녀석들,5,18,13,1,1
김정식의 삼일뒷고기,맛있는녀석들,6,22,16,0,9
까사디노아,수요미식회,21,101,80,1,1
까치기사식당,생생정보,4,26,22,0,9
깔레소나무장작구이,생생정보,16,56,40,0,3
꼬치파이터,생생정보,8,33,25,0,5
꽃삼,생생정보,16,54,38,0,11
꽃지꽃게집,생생정보,152,297,145,0,4
끌라시끄,수요미식회,12,80,68,0,12
나정순할매쭈꾸미,맛있는녀석들,50,150,100,1,3
나폴레옹 과자점,맛있는녀석들,9,42,33,1,12
남도사계 고운님,수요미식회,2,12,10,1,8
남도음식전문점,수요미식회,13,39,26,1,2
남문식당,맛있는녀석들,2,18,16,0,5
내호냉면,맛있는녀석들,1,5,4,0,1
네거리식당,수요미식회,148,213,65,0,9
네모오징어 도곡본점,생생정보,2,11,9,1,11
논밭골,수요미식회,15,82,67,1,10
농민백암순대,수요미식회,51,193,142,1,11
다미,수요미식회,31,65,34,1,3
다운타우너,수요미식회,311,576,265,1,5
닭한마리감자탕,수요미식회,7,55,48,1,4
당구대통철판삼겹살,생생정보,3,33,30,0,10
대감왕족발,수요미식회,3,46,43,1,11
대관원,수요미식회,28,120,92,1,11
대동할매국수,맛있는녀석들,30,66,36,0,9
대림동 삼거리먼지막순댓국,수요미식회,2,64,62,1,11
대복집,수요미식회,8,35,27,1,4
대우부대찌개,수요미식회,56,124,68,1,5
대원식당,수요미식회,8,114,106,1,3
대풍만두,생생정보,1,18,17,0,1
더코너키친,생생정보,29,52,23,1,7
더행복,생생정보,10,41,31,1,5
덕자네 방앗간,수요미식회,11,215,204,1,2
도담청시래기,생생정보,0,18,18,0,1
도마,맛있는녀석들,16,14,-2,1,11
도셰프,맛있는녀석들,43,71,28,1,3
돈까스잔치,생생정보,16,34,18,1,3
동경전통육개장,생생정보,8,20,12,1,2
동남집,생생정보,20,41,21,1,2
