식당,방영전,방영후,증가,방영월,방송_맛있는녀석들,방송_생생정보,방송_수요미식회,서울_0,서울_1,계절_가을,계절_겨울,계절_봄,계절_여름
136생고기,4,45,41,3,0,1,0,1,0,0,0,1,0
3일한우국밥,35,51,16,3,0,1,0,0,1,0,0,1,0
가람떡갈비,21,50,29,1,1,0,0,0,1,0,1,0,0
가마솥 족발,31,106,75,3,0,1,0,1,0,0,0,1,0
가마솥손두부,11,45,34,4,0,1,0,0,1,0,0,1,0
갈비구락부,36,46,10,9,0,1,0,1,0,1,0,0,0
갓포치유,24,74,50,8,0,0,1,0,1,0,0,0,1
강릉감자옹심이,177,295,118,11,0,0,1,1,0,1,0,0,0
강릉아구찜,9,43,34,11,0,1,0,0,1,1,0,0,0
강촌 숯불 닭갈비,42,138,96,12,0,0,1,0,1,0,1,0,0
강촌원조쭈꾸미,7,46,39,1,1,0,0,0,1,0,1,0,0
강화해신탕,12,41,29,8,0,1,0,1,0,0,0,0,1
개미집,13,20,7,2,1,0,0,0,1,0,1,0,0
개화옥,21,72,51,4,0,0,1,0,1,0,0,1,0
개화옥 등심,1,8,7,7,1,0,0,0,1,0,0,0,1
갯바위,5,40,35,2,0,0,1,0,1,0,1,0,0
갱생,14,34,20,2,0,1,0,0,1,0,1,0,0
건대통골뱅이,12,36,24,4,1,0,0,0,1,0,0,1,0
건대황소곱창,22,67,45,11,1,0,0,0,1,1,0,0,0
경포,0,8,8,5,1,0,0,1,0,0,0,1,0
계림식당,37,49,12,9,0,1,0,0,1,1,0,0,0
고기한점 달빛한점,14,58,44,12,0,1,0,0,1,0,1,0,0
고래불,19,76,57,2,0,0,1,0,1,0,1,0,0
고암식당,9,74,65,5,0,0,1,0,1,0,0,1,0
고향 양꼬치,33,49,16,4,1,0,0,0,1,0,0,1,0
광명소고기순대국,5,25,20,5,0,1,0,1,0,0,0,1,0
광주식당,49,63,14,3,1,0,0,0,1,0,0,1,0
교동두부,6,35,29,2,1,0,0,0,1,0,1,0,0
구로식당 본점,32,37,5,7,0,1,0,0,1,0,0,0,1
구복만두,81,200,119,12,0,0,1,0,1,0,1,0,0
구옹진식당,11,38,27,8,0,1,0,1,0,0,0,0,1
군자네,9,41,32,6,0,1,0,0,1,0,0,0,1
그릭슈바인,76,60,-16,4,1,0,0,0,1,0,0,1,0
금돼지식당,1,34,33,5,0,1,0,0,1,0,0,1,0
금목서회관,1,17,16,6,0,1,0,1,0,0,0,0,1
금홍,6,75,69,4,0,0,1,0,1,0,0,1,0
기와집순두부,42,131,89,3,0,0,1,1,0,0,0,1,0
김관석의 탐라돈,10,33,23,2,0,1,0,0,1,0,1,0,0
김북순큰남비집,12,40,28,3,1,0,0,0,1,0,0,1,0
김영자 나주곰탕,5,18,13,1,1,0,0,0,1,0,1,0,0
김정식의 삼일뒷고기,6,22,16,9,1,0,0,1,0,1,0,0,0
까사디노아,21,101,80,1,0,0,1,0,1,0,1,0,0
까치기사식당,4,26,22,9,0,1,0,1,0,1,0,0,0
깔레소나무장작구이,16,56,40,3,0,1,0,1,0,0,0,1,0
꼬치파이터,8,33,25,5,0,1,0,1,0,0,0,1,0
꽃삼,16,54,38,11,0,1,0,1,0,1,0,0,0
꽃지꽃게집,152,297,145,4,0,1,0,1,0,0,0,1,0
끌라시끄,12,80,68,12,0,0,1,1,0,0,1,0,0
나정순할매쭈꾸미,50,150,100,3,1,0,0,0,1,0,0,1,0
