방송명,방송날짜,식당명,위치
생생정보통,2017년 1월 3일,대풍만두,경북 안동시 번영길 21
생생정보통,2017년 1월 12일,여인천하조개구이,인천 중구 마시란로 107-11
생생정보통,2017년 1월 13일,제일정육정식당,경기 오산시 오산로 164
생생정보통,2017년 1월 31일,광명식당,제주특별자치도 제주시 동문로4길 9
생생정보통,2017년 2월 1일,칡산에,강원도 원주시 금불4길 25-5
생생정보통,2017년 2월 1일,육해공한판닭갈비,대전광역시 동구 은어송로 51번길 38-8
생생정보통,2017년 2월 3일,신동태요리전문점,경기 화성시 경기동로 491
생생정보통,2017년 2월 3일,동남집,서울 금천구 가산디지털1로 149
생생정보통,2017년 2월 6일,떳다 무한삼겹,서울특별시 양천구 신월2동 492-16
생생정보통,2017년 2월 8일,찜혜화동,경기도 의정부시 부용로 95번길 10
생생정보통,2017년 2월 8일,통큰손칼국수,인천광역시 남동구 앵고개로 847번길 72
생생정보통,2017년 2월 14일,송씨 뼈대 있는 짬뽕,강원도 원주시 봉산로 96-15
생생정보통,2017년 2월 14일,행복한 콩박사,경기도 오산시 양산로 398번길 8-11
생생정보통,2017년 2월 21일,아이포차,경기도 부천시 소사구 괴안동 114-20
생생정보통,2017년 2월 22일,김관석의 탐라돈,서울시 마포구 서강로9길 56 송우빌딩
생생정보통,2017년 2월 28일,청송숯불갈비,대구광역시 남구 대명3동 1723-28
생생정보통,2017년 2월 28일,세친구 족발이야기,인천 계양구 작전동 907-2
생생정보통,2017년 3월 10일,요망진 도세기,서울시 영등포구 당산로 47길 10 두기빌딩 1층
생생정보통,2017년 3월 10일,돈까스잔치,서울 용산구 동빙고동 94
생생정보통,2017년 3월 17일,송영선할머니갈비집,경기도 포천시 이동면 장암리 477-23
생생정보통,2017년 3월 17일,136생고기,인천 계양구 작전동 136번지
생생정보통,2017년 4월 7일,영월애곤드레,인천광역시 남동구 매소홀로 864
생생정보통,2017년 4월 7일,빽갈비1983,서울특별시 강남구 선릉로127길 16
생생정보통,2017년 4월 13일,마포참치,서울특별시 마포구 도화동 51-1 성우빌딩 지하
생생정보통,2017년 4월 13일,옛골매운갈비김치찜,경기 성남시 중원구 둔촌대로 389
생생정보통,2017년 4월 27일,번개맞은흑돼지,제주특별자치도 서귀포시 토평공단로 78-22
생생정보통,2017년 4월 27일,섭지향,제주특별자치도 서귀포시 성산읍 신양로5
생생정보통,2017년 5월 3일,꼬치파이터,전북 전주시 완산구 전주객사5길 13-4 2층
생생정보통,2017년 5월 3일,용두동쭈꾸미,서울 동대문구 무학로 36길 10
생생정보통,2017년 5월 17일,식주고명,서울특별시 종로구 대학로11길 16
생생정보통,2017년 5월 31일,편가네 간장게장,인천광역시 강화군 화도면 가능포로 89번길 11
생생정보통,2017년 5월 31일,행복한 곰탕,세종특별자치시 절재로 194
생생정보통,2017년 6월 6일,밴댕이소갈딱지삼겹살강가네,경상남도 창원시 진해구 충장로 100번길 3
생생정보통,2017년 6월 12일,현래장,서울특별시 마포구 마포대로 20 불교방송국 지하1층
생생정보통,2017년 6월 19일,금목서회관,전라남도 광양시 광양읍 칠성리 17-2
생생정보통,2017년 6월 26일,중식발전소,부산광역시 금정구 수림로50번길 198
생생정보통,2017년 6월 26일,일미화평동냉면,인천광역시 동구 화평로 18
생생정보통,2017년 7월 19일,더코너키친,서울 성동구 한림말3길 8
생생정보통,2017년 7월 26일,구로식당 본점,서울 구로구 디지털로34길 55
생생정보통,2017년 8월 15일,구옹진식당,충남 서산시 번화2로 8-2
생생정보통,2017년 8월 15일,강화해신탕,인천 강화군 선원면 중앙로 385
생생정보통,2017년 8월 21일,약산궁 능이버섯백숙,경기 포천시 내촌면 금강로 3143-7
생생정보통,2017년 9월 1일,속초해물보쌈전골,강원 속초시 먹거리6길 17
생생정보통,2017년 9월 1일,제주미돈,인천 남동구 소래역동로 6-8
생생정보통,2017년 9월 7일,오시오집,서울 영등포구 국제금융로 78
생생정보통,2017년 9월 7일,계림식당,서울 종로구 돈화문로4길 39
생생정보통,2017년 9월 13일,옛골할머니감자탕순대국,경기 고양시 일산동구 고일로 10
생생정보통,2017년 9월 13일,청담추어정,경기 성남시 수정구 여수대로56번길 3
생생정보통,2017년 9월 18일,까치기사식당,인천 부평구 백범로 526
생생정보통,2017년 9월 25일,갈비구락부,울산 울주군 삼남면 남상평2길 34-12
생생정보통,2017년 9월 25일,반저,서울 종로구 대학로8가길 56
생생정보통,2017년 10월 27일,이태리국시,대전 서구 둔산로31번길 31
생생정보통,2017년 11월 3일,쑥고개부대찌개,경기 안성시 원곡면 만세로 999-2
생생정보통,2017년 11월 3일,꽃삼,충남 아산시 용화로47번길 2-4
