방송,식당,방영일,포스팅일,제목,주소,days_diff,지역
생생,대풍만두,2017-01-03,2017-01-08,안동 사대부찜닭 생생정보통에 나온 <mark>대풍만두</mark> 다녀왔어요,"https://m.blog.naver.com/hts1222/220905835536""",5,안동
생생,대풍만두,2017-01-03,2017-01-27,"안동구시장찐빵맛집, 생생정보통 <mark>대풍만두</mark>","https://m.blog.naver.com/pinkwona/220920892215""",24,안동
생생,대풍만두,2017-01-03,2016-12-20,"안동시 서부동 만두맛집, <mark>대풍만두</mark>","http://siksamenu.tistory.com/2212""",-14,안동
생생,대풍만두,2017-01-03,2017-01-03,오즈패밀리 KBS 생생정보 1월3일 맛집 - 흑미 복분자 찐빵(<mark>대풍만두</mark>),"https://m.blog.naver.com/flypig1/220901684323""",0,안동
생생,대풍만두,2017-01-03,2017-01-03,"◈ 안동 찐빵 만두 맛집 공유~* , 2tv 저녁 생생정보 안동 구시장 찐빵 맛집 <mark>대풍만두</mark> ~*","https://m.blog.naver.com/mediost/220901827867""",0,안동
생생,대풍만두,2017-01-03,2017-01-03,생생정보 안동 찐빵 복분자찐빵 흑미찐빵 <mark>대풍만두</mark> 생생정보통,"http://dodo1004love.tistory.com/3308""",0,안동
생생,대풍만두,2017-01-03,2017-01-03,생생정보 흑미찐빵 복분자찐빵 생생정보통 시장에숨은최고의맛 경북 안동시 서부동 <mark>대풍만두</mark> 안동...,"http://tvfoodinfo.tistory.com/3132""",0,안동
생생,대풍만두,2017-01-03,2017-01-03,"시장에 숨은 최고의 맛 * 고기만두 김치만두 경북 안동시 서부동 안동구시장 <mark>대풍만두</mark> 주소, 위치, 전화번호","http://waegwanlife.tistory.com/1813""",0,안동
생생,대풍만두,2017-01-03,2017-01-03,'2TV 생생정보' 경북 안동시 시장에숨은최고의맛 안동구시장 흑미 찐빵 '<mark>대풍만두</mark>',"http://mediabank.tistory.com/794""",0,안동
생생,대풍만두,2017-01-03,2017-01-03,"흑미찐빵 복분자찐빵 일반찐빵, 2TV 생생정보 시장에 숨은 최고의 맛 1월3일 안동구시장 <mark>대풍만두</mark>","http://mylovegae.tistory.com/187""",0,안동
생생,대풍만두,2017-01-03,2017-01-03,생생정보찐빵집 안동<mark>대풍만두</mark> 김해수 김영자사장 안동찐빵집 안동구시장찐빵집 생생정보통찐빵집...,"http://letoz.tistory.com/2267""",0,안동
생생,대풍만두,2017-01-03,2017-01-31,"안동 맛집-찐빵맛집,<mark>만두</mark>맛집,생생정보&lt;상주곶감본가&gt;","https://m.blog.naver.com/lsh899/220923661257""",28,안동
생생,대풍만두,2017-01-03,2017-02-28,안동 여행 / 안동찜닭/ 안동맛집/하회마을 /안동갈비,"https://m.blog.naver.com/sudalyi/220946289826""",56,안동
생생,대풍만두,2017-01-03,2017-01-03,"생생정보 안동 구시장 찐빵, 흑미찐빵, 복분자찐빵 시장에 숨은 최고의 맛 생생정보통 1월 3일 방송","http://kfoodtalker.tistory.com/7307""",0,안동
생생,대풍만두,2017-01-03,2017-01-03,매생이 굴찜 족발 간장게장이 무한리필 생생정보,"https://m.blog.naver.com/eueuy777/220901667186""",0,안동
생생,대풍만두,2017-01-03,2017-01-03,1월3일 생생정보 시장에숨은 최고의맛 안동 구시장 찐빵 흑미찐빵 복분자찐빵,"http://findingdorydory.tistory.com/608""",0,안동
생생,대풍만두,2017-01-03,2017-01-04,"1월 3일 kbs 2TV 생생정보 237회 방송정보, 연락처","http://inform2.tistory.com/134""",1,안동
생생,대풍만두,2017-01-03,2017-01-04,색도 맛도 독특한 맛있고 건강한 찐빵-생생정보,"https://m.blog.naver.com/choulha63/220902489318""",1,안동
생생,대풍만두,2017-01-03,2017-01-03,"김치만두, 김해수 김영자, 안동 구시장 맛집, <mark>대풍만두</mark>, 가격 위치, 시장에숨은최고의맛 겨울철 만난 이색...","http://pulgi.tistory.com/767""",0,안동
생생,큰바다해물아구찜,2017-01-06,2017-03-15,"파주 / 일산 맛집 ㅣ 푸짐한 해산물이 가득, <mark>큰바다 해물아구찜</mark>","https://m.blog.naver.com/accentv/220958624475""",68,일산/파주
생생,큰바다해물아구찜,2017-01-06,2016-12-27,일산/파주 맛집 : <mark>큰바다해물아구찜</mark> 아찜탕 푸짐하게 먹을 수 있어요!,"https://m.blog.naver.com/epkcs_0112/220896183480""",-10,일산/파주
생생,큰바다해물아구찜,2017-01-06,2016-12-18,아찜탕 큰바다 일산아구찜 <mark>큰바다해물아구찜</mark>에서 즐거운 가족모임했지용,"https://m.blog.naver.com/green-day1226/220889037286""",-19,일산/파주
생생,큰바다해물아구찜,2017-01-06,2016-12-20,일산 아구찜으로 유명한 일산 <mark>큰바다해물아구찜</mark>네 왔는데 아찜탕 쵝오 ! !,"https://m.blog.naver.com/alfksekzj7/220890755905""",-17,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-01-04,일산맛집 ! 비쥬얼 최고의 <mark>큰바다해물아구찜</mark> 아.찜.탕 !!!!,"https://m.blog.naver.com/rinkyzzang/220902730604""",-2,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-01-10,생생정보통 일산 <mark>큰바다해물아구찜</mark> 맛집..?,"https://m.blog.naver.com/pompam12/220907095770""",4,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-03-27,일산맛집/<mark>큰바다해물아구찜</mark>,"https://m.blog.naver.com/hsd508/220968614190""",80,일산/파주
생생,큰바다해물아구찜,2017-01-06,2016-11-25,일산맛집 <mark>큰바다 해물아구찜</mark>의 완전 대박 메뉴 아찜탕!!!!!!!!!!!,"https://m.blog.naver.com/zodae/220870470765""",-42,일산/파주
생생,큰바다해물아구찜,2017-01-06,2016-12-21,[일산맛집추천/아찜탕] 해산물이 싱싱한 <mark>큰바다 해물 아구찜</mark>,"https://m.blog.naver.com/jjuripark/220891444428""",-16,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-01-06,"오즈패밀리 KBS 생생정보 1월6일 맛집 - 이층해물한판, 아찜탕(<mark>큰바다 해물아구찜</mark>), 만두부대전골(상화)","https://m.blog.naver.com/flypig1/220904480253""",0,일산/파주
생생,큰바다해물아구찜,2017-01-06,2016-12-29,일산맛집 : 일산<mark>해물</mark>탕 : 큰<mark>바다</mark><mark>아구</mark>찜에서 단체식사,"https://m.blog.naver.com/msr2818/220897360785""",-8,일산/파주
생생,큰바다해물아구찜,2017-01-06,2016-12-19,일산아구찜 아찜탕이 특별한 <mark>큰바다해물아구찜</mark>,"https://m.blog.naver.com/aion26/220888992662""",-18,일산/파주
생생,큰바다해물아구찜,2017-01-06,2016-12-20,일산아구찜먹으러 <mark>큰바다해물아구찜</mark> 다녀왔어요,"https://m.blog.naver.com/dlfkd0310/220890372583""",-17,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-01-01,생생정보2tv 일산아구찜맛집 <mark>큰바다해물아구찜</mark> 비쥬얼짱!,"https://m.blog.naver.com/yo_mia/220899826488""",-5,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-03-17,아찜탕 KBS2TV생생정보 방영[<mark>큰바다해물아구찜</mark>],"https://m.blog.naver.com/duri1785/220960221103""",70,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-01-06,생생정보 이층해물한판 만두부대전골 일산 <mark>큰바다해물아구찜</mark> 김포 만두부대전골,"http://dodo1004love.tistory.com/3333""",0,일산/파주
생생,큰바다해물아구찜,2017-01-06,2016-12-16,연말모임하기좋은곳- 일산맛집 <mark>큰바다해물아구찜</mark>에서 아찜탕으로 푸짐한저녁식사를..,"https://m.blog.naver.com/changgo6245/220886675673""",-21,일산/파주
생생,큰바다해물아구찜,2017-01-06,2016-12-25,일산맛집 아찜탕 강추 <mark>큰바다 해물아구찜</mark>,"https://m.blog.naver.com/ffqdqdjsm/220894613483""",-12,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-01-06,"생생정보 이층해물한판 생생정보통 비법천하 경기도 고양시 일산동구 설문동 <mark>큰바다 해물아구찜</mark>,가격...","http://tvfoodinfo.tistory.com/3159""",0,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-01-06,2tv 생생정보 이층해물한판 비법천하 경기도 고양시 일단동구 설문동 <mark>큰바다 해물아구찜</mark>,"http://koolike.tistory.com/731""",0,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-01-06,"해물탕아구찜 전복해물탕 전복낙지닭한마리 경기도 고양시 일산동구 <mark>큰바다해물아구찜</mark> 위치, 전화번호...","http://waegwanlife.tistory.com/1829""",0,일산/파주
생생,큰바다해물아구찜,2017-01-06,2016-10-22,일산 맛집 마산<mark>해물</mark><mark>아구</mark>찜에서 <mark>아구</mark><mark>아구</mark>,"https://m.blog.naver.com/bikypower/220842809505""",-76,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-01-06,'2tv 생생정보 1월6일' 경기 고양시 비법천하 이층해물한판 아찜탕 '<mark>큰바다해물아구찜</mark>',"http://mediabank.tistory.com/833""",0,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-01-06,생생정보통이층해물한판 고양<mark>큰바다해물아구찜</mark> 왕윤호사장 고양이층해물한판 일산이층해물한판...,"http://letoz.tistory.com/2311""",0,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-02-26,소사역 :: 소사역 <mark>해물</mark>찜 맛집 생생<mark>해물</mark>찜&amp;<mark>아구</mark>찜,"https://m.blog.naver.com/ahj90950/220944923857""",51,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-02-05,파주 아동동 금촌역맛집[통큰<mark>아구</mark>찜]음식에 내공이 묻어나는 끝내주는 <mark>아구</mark>찜 <mark>해물</mark>찜 먹고왔어요,"https://m.blog.naver.com/bborong1004/220927921360""",30,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-01-07,고양 맛집 :: 2TV 생생정보 :: 붉고 야들야들한 아귀찜의 비밀을 파헤치다,"https://m.blog.naver.com/sahve/220904941205""",1,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-01-06,1월6일 생생정보 고양시 일산 이층<mark>해물</mark>한판 아찜탕 <mark>아구</mark>찜<mark>해물</mark>탕 김포 만두부대전골,"http://findingdorydory.tistory.com/631""",0,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-01-07,<mark>해물</mark>과 <mark>아구</mark>찜이 있는 <mark>해물</mark>총집합 2층 <mark>해물</mark>한판-생생정보,"https://m.blog.naver.com/choulha63/220905016532""",1,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-03-29,[일산 중산 맛집] 통큰<mark>아구</mark>가좋아/<mark>아구</mark>찜/<mark>해물</mark>찜/일산맛집/중산동맛집,"https://m.blog.naver.com/ouuo6/220970108548""",82,일산/파주
생생,큰바다해물아구찜,2017-01-06,2017-03-11,일산 큰<mark>바다</mark><mark>해물</mark>아귀찜,"https://m.blog.naver.com/joobar2121/220955778504""",64,일산/파주
생생,큰바다해물아구찜,2017-01-06,2016-12-13,일산 <mark>아구</mark>찜 맛집 <mark>해물</mark>들이 푸짐한곳:-),"https://m.blog.naver.com/zzzk211/220885184747""",-24,일산/파주
