방송명,방송날짜,식당명,주소,업종
수요미식회,2017년 1월 4일  ,오통영,서울특별시 강남구 선릉로158길 10 한나빌딩 지하2층,한식
수요미식회,2017년 1월 4일  ,안동장,서울특별시 중구 을지로 124,중식당
수요미식회,2017년 1월 11일  ,평양집,서울특별시 용산구 한강대로 186,곱창
수요미식회,2017년 1월 11일  ,까사디노아,서울 마포구 연남동 257-8 1층,양식
수요미식회,2017년 2월 1일  ,덕자네 방앗간,서울특별시 서초구 사평대로56길 7,분식
수요미식회,2017년 2월 1일  ,루비떡볶이,서울특별시 강남구 선릉로153길 21,분식
수요미식회,2017년 2월 8일  ,참식당,서울특별시 마포구 토정로 311,한식
수요미식회,2017년 2월 8일  ,갯바위,서울특별시 관악구 남부순환로216길 1,한식
수요미식회,2017년 2월 15일  ,포담,서울특별시 종로구 자하문로9길 11,중식
수요미식회,2017년 2월 15일  ,따빠스구르메,서울특별시 종로구 자하문로9길 7 1층,양식
수요미식회,2017년 2월 22일  ,고래불,서울특별시 강남구 논현로79길 62,한식
수요미식회,2017년 2월 22일  ,영주묵호문어집,경상북도 영주시 영주로224번길 8,한식
수요미식회,2017년 3월 1일  ,오돌,서울특별시 영등포구 국회대로37길 6,한식
수요미식회,2017년 3월 1일  ,미갈매기살,서울특별시 종로구 돈화문로11가길 7,한식
수요미식회,2017년 3월 8일  ,안즈,서울특별시 중구 을지로5길 19 FERR,돈가스
수요미식회,2017년 3월 8일  ,정돈,서울특별시 종로구 대학로9길 12,돈가스
수요미식회,2017년 3월 15일  ,다미,서울특별시 영등포구 국제금융로8길 3,일식
수요미식회,2017년 3월 15일  ,대원식당,서울특별시 용산구 한강대로62나길 16,한식
수요미식회,2017년 4월 5일  ,개화옥,서울특별시 강남구 논현로175길 42,한식
수요미식회,2017년 4월 5일  ,대복집,서울특별시 종로구 사직로 137-9,한식
수요미식회,2017년 4월 12일  ,멍게가,경상남도 통영시 동충4길 25,한식
수요미식회,2017년 4월 12일  ,수정식당,경상남도 통영시 항남5길 12-21,한식
수요미식회,2017년 4월 19일  ,주은감자탕,서울특별시 송파구 삼학사로 71,한식
수요미식회,2017년 4월 19일  ,닭한마리감자탕,서울특별시 강남구 강남대로152길 13,한식
수요미식회,2017년 4월 26일  ,금홍,서울특별시 용산구 이촌로 303 현대아파트11동상가 1층 금홍,중식
수요미식회,2017년 4월 26일  ,아지겐,서울특별시 용산구 이촌로75길 22,일식
수요미식회,2017년 5월 3일  ,서일농원 솔리,경기도 안성시 일죽면 금일로 332-17,한식
수요미식회,2017년 5월 3일  ,목향원,경기도 남양주시 덕릉로1071번길 34-11,한식
수요미식회,2017년 5월 17일  ,서울여관식당,경상북도 청송군 청송읍 약수길 18-1,한식
수요미식회,2017년 5월 17일  ,오복손두부,경기도 광주시 남한산성면 남한산성로 745-10,한식
수요미식회,2017년 5월 24일  ,다운타우너,서울특별시 용산구 이태원로42길 28-4,양식
수요미식회,2017년 5월 24일  ,카퍼룸,서울특별시 강남구 봉은사로 410 라마다서울호텔 파크플라자 지하3층,양식
수요미식회,2017년 5월 31일  ,우정회관,전라북도 고창군 심원면 심원로 196 우정회관,한식
수요미식회,2017년 5월 31일  ,연기식당,전라북도 고창군 아산면 선운대로 2727 원조연기식당,한식
수요미식회,2017년 6월 7일  ,아티장베이커스,서울특별시 서초구 서래로 26,베이커리
수요미식회,2017년 6월 7일  ,악소,서울특별시 강남구 압구정로 151 현대아파트,베이커리
수요미식회,2017년 6월 14일  ,부첼리하우스,서울특별시 용산구 독서당로 122-1 포트힐(Fort Hill) 빌딩,양식
