"순번","시군구코드","시군구명_한글","시군구명_영문","ESRI_PK","위도","경도"
"1","11320","도봉구","Dobong-gu","0","37.6658609","127.0317674"
"2","11380","은평구","Eunpyeong-gu","1","37.6176125","126.9227004"
"3","11230","동대문구","Dongdaemun-gu","2","37.5838012","127.0507003"
"4","11590","동작구","Dongjak-gu","3","37.4965037","126.9443073"
"5","11545","금천구","Geumcheon-gu","4","37.4600969","126.9001546"
"6","11530","구로구","Guro-gu","5","37.4954856","126.858121"
"7","11110","종로구","Jongno-gu","6","37.5990998","126.9861493"
"8","11305","강북구","Gangbuk-gu","7","37.6469954","127.0147158"
"9","11260","중랑구","Jungnang-gu","8","37.5953795","127.0939669"
"10","11680","강남구","Gangnam-gu","9","37.4959854","127.0664091"
"11","11500","강서구","Gangseo-gu","10","37.5657617","126.8226561"
"12","11140","중구","Jung-gu","11","37.5579452","126.9941904"
"13","11740","강동구","Gangdong-gu","12","37.5492077","127.1464824"
"14","11215","광진구","Gwangjin-gu","13","37.5481445","127.0857528"
"15","11440","마포구","Mapo-gu","14","37.5622906","126.9087803"
"16","11650","서초구","Seocho-gu","16","37.4769528","127.0378103"
"17","11290","성북구","Seongbuk-gu","17","37.606991","127.0232185"
"18","11350","노원구","Nowon-gu","18","37.655264","127.0771201"
"19","11710","송파구","Songpa-gu","19","37.5048534","127.1144822"
"20","11410","서대문구","Seodaemun-gu","21","37.5820369","126.9356665"
"21","11470","양천구","Yangcheon-gu","22","37.5270616","126.8561534"
"22","11560","영등포구","Yeongdeungpo-gu","23","37.520641","126.9139242"
"23","11620","관악구","Gwanak-gu","15","37.4653993","126.9438071"
"24","11200","성동구","Seongdong-gu","20","37.5506753","127.0409622"
"25","11170","용산구","Yongsan-gu","24","37.5311008","126.9810742"
