"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
0313,서울역(경의선),k0203,경의중앙선,Seoul station,,환승역,,경의/1/4,37.5547130000,126.9707870000,한국철도공사,서울시 용산구 한강대로 405,02-392-1324,2017-05-12
0314,신촌역,k0203,경의중앙선,Sinchon,新 村,일반역,,,37.5597680000,126.9423080000,한국철도공사,서울특별시 서대문구 대현동 74-12,02-363-7788,2017-05-12
0315,가좌역,k0203,경의중앙선,Gajwa,加 佐,환승역,,,37.5686110000,126.9148410000,한국철도공사,서울시 서대문구 수색로 27(남가좌동),02-373-1280,2017-05-12
0311,효창공원앞역,k2031,경의중앙선,hyochang park,孝昌公圓앞,환승역,,경의중앙/6,37.5392890000,126.9613390000,한국철도공사,서울시 용산구 용문동 5-133,02-701-6418,2017-05-12
0312,공덕역,k0203,경의중앙선,Gongdeok,孔德,환승역,,5/6/경의중앙,37.5426110000,126.9521340000,한국철도공사,서울시 마포구 공덕동 마포대로 자하100,02-6311-6261,2017-05-12
0313,서강대역,k0203,경의중앙선,Sogang Univ,西江大,일반역,,,37.5521320000,126.9353890000,한국철도공사,서울시 마포구 서강로 지하118,02-712-5288,2017-05-12
0314,홍대입구역,k2031,경의중앙선,Hongik Univ.,弘大入口,환승역,,2/공항/경의중앙,37.5580800000,126.9255330000,한국철도공사,서울시 마포구 양화로 지하 188,02-322-7898,2017-05-12
0316,디지털미디어시티역,k0203,경의중앙선,Digital Media City,디지털미디어시티,환승역,,6/공항/경의중앙,37.5779640000,126.9004210000,한국철도공사,서울시 은평구 수색로 193(수색동 37-2),02-305-1030,2017-05-12
0317,수색역,k0203,경의중앙선,Susaek,水 色,일반역,,,37.5808550000,126.8956810000,한국철도공사,서울시 은평구 수색로 261-1,02-305-7788,2017-05-12
0318,화전역,k0203,경의중앙선,Hwajeon,花 田,일반역,,,37.6378370000,126.8325030000,한국철도공사,경기도 고양시 덕양구 화랑로 53(화전동 183-10),02-3158-0788,2017-05-12
0319,강매역,k0203,경의중앙선,Gangmae,江 梅,일반역,,,37.6125960000,126.8454370000,한국철도공사,경기도 고양시 덕양구 행신동 108-5,031-938-2534,2017-05-12
0320,행신역,k0203,경의중앙선,Haengsin,幸 信,일반역,,,37.6121250000,126.8340630000,한국철도공사,경기도 고양시 덕양구 행신동 충경로 124번지(행신2동 812),031-979-0263,2017-05-12
0321,능곡역,k0203,경의중앙선,Neunggok,陵 谷,일반역,,,37.6187410000,126.8208450000,한국철도공사,경기도 고양시 덕양구 토당로 35(토당동 454-3),031-974-7788,2017-05-12
0323,곡산역,k0203,경의중앙선,Goksan,谷 山,일반역,,,37.6457290000,126.8018770000,한국철도공사,경기도 고양시 일산동구 경의로 160(백석동),031-907-5155,2017-05-12
0324,백마역,k0203,경의중앙선,Baengma,白 馬,일반역,,,37.6583460000,126.7944010000,한국철도공사,경기도 고양시 일산동구 경의로 318(풍동 482-8),031-901-7788,2017-05-12
0325,풍산역,k0203,경의중앙선,Pungsan,楓山,일반역,,,37.6721730000,126.7863550000,한국철도공사,경기도 고양시 일산동구 경의로 486(풍동),031-907-5154,2017-05-12
0326,일산역,k0203,경의중앙선,Ilsan,一 山,일반역,,,37.6822310000,126.7695210000,한국철도공사,경기도 고양시 일산서구 경의로 672,031-976-7788,2017-05-12
0327,탄현역,k0203,경의중앙선,Tanhyeon,炭 峴,일반역,,,37.6941140000,126.7610750000,한국철도공사,경기도 고양시 일산서구 경의로 856(덕이동),070-8882-9098,2017-05-12
0328,야당역,k0203,경의중앙선,Yadang,野?,일반역,,,37.7127490000,126.7615350000,한국철도공사,경기도 파주시 야당동 836번지,031-941-8535,2017-05-12
